DataSet,MMC,AUROC,FPR@95
MNIST,0.10000509023666382,-,-
FMNIST,0.10000564903020859,0.4985008,0.0
EMNIST,0.10000526160001755,0.4993502,0.0
GrayCIFAR10,0.10000651329755783,0.46927127,0.0
Noise,0.10000947117805481,0.49978334,0.0
Adv. Noise,0.10001739114522934,0.49206036,0.0
Adv. Sample,0.10000497847795486,0.48137257,0.0
Adv. Noise,0.10001444071531296,0.4882353,0.0
Adv. Sample,0.10000656545162201,0.49411768,0.0
Adv. Noise,0.10001737624406815,0.48235294,0.0
Adv. Sample,0.1000058725476265,0.48235294,0.0
Adv. Noise,0.1000160276889801,0.4862745,0.0
Adv. Sample,0.10000541806221008,0.48627454,0.0
Adv. Noise,0.10001549124717712,0.4970588,0.0
Adv. Sample,0.10000524669885635,0.4911765,0.0
Adv. Noise,0.100025475025177,0.41568628,0.0
Adv. Sample,0.10000565648078918,0.47156864,0.0
Adv. Noise,0.10001517832279205,0.49411765,0.0
Adv. Sample,0.1000053733587265,0.49509805,0.0
Adv. Noise,0.10001490265130997,0.49803922,0.0
Adv. Sample,0.10000528395175934,0.47352943,0.0
Adv. Noise,0.10001660138368607,0.49117646,0.0
Adv. Sample,0.10000500828027725,0.48137257,0.0
Adv. Noise,0.10000928491353989,0.4970588,0.0
Adv. Sample,0.10000546276569366,0.5,0.0
Adv. Noise,0.10003068298101425,0.38823527,0.0
Adv. Sample,0.10000845044851303,0.5,0.0
Adv. Noise,0.10003985464572906,0.32254902,0.0
Adv. Sample,0.10001219809055328,0.49803922,0.0
Adv. Noise,0.1000455990433693,0.24411762,0.0
Adv. Sample,0.10001037269830704,0.5,0.0
Adv. Noise,0.100043885409832,0.26764703,0.0
Adv. Sample,0.10000792890787125,0.46862748,0.0
Adv. Noise,0.10004696249961853,0.24019605,0.0
Adv. Sample,0.10001357644796371,0.49803922,0.0
Adv. Noise,0.10004611313343048,0.25490195,0.0
Adv. Sample,0.10000798106193542,0.48529413,0.0
Adv. Noise,0.10004596412181854,0.25392157,0.0
Adv. Sample,0.1000136062502861,0.49509802,0.0
Adv. Noise,0.10004442930221558,0.25588232,0.0
Adv. Sample,0.10000771284103394,0.46666667,0.0
Adv. Noise,0.10004603117704391,0.24509802,0.0
Adv. Sample,0.10001363605260849,0.4970588,0.0
Adv. Noise,0.1000436469912529,0.25784314,0.0
Adv. Sample,0.10000821202993393,0.46862745,0.0
Adv. Noise,0.1000475212931633,0.24117646,0.0
Adv. Sample,0.100013867020607,0.4970588,0.0
